ID,label,set
00942.au,metal,train
00330.au,blues,train
00727.au,pop,train
00396.au,reggae,train
00463.au,rock,train
00393.au,blues,train
00311.au,jazz,train
00680.au,classical,train
00744.au,rock,train
00921.au,pop,train
00461.au,country,train
00522.au,metal,train
00631.au,reggae,train
00490.au,pop,train
00195.au,metal,train
00256.au,country,train
00693.au,pop,train
00740.au,blues,train
00577.au,blues,train
00157.au,classical,train
00612.au,country,train
00392.au,country,train
00969.au,reggae,train
00688.au,blues,train
00361.au,disco,train
00816.au,blues,train
00401.au,disco,train
00092.au,hiphop,train
00917.au,reggae,train
00489.au,hiphop,train
00451.au,disco,train
00251.au,disco,train
00653.au,country,train
00769.au,reggae,train
00670.au,jazz,train
00129.au,jazz,train
00637.au,hiphop,train
00991.au,reggae,train
00342.au,country,train
00308.au,disco,train
00136.au,classical,train
00088.au,jazz,train
00327.au,hiphop,train
00475.au,pop,train
00981.au,disco,train
00850.au,jazz,train
00892.au,blues,train
00375.au,rock,train
00178.au,metal,train
00026.au,metal,train
00349.au,rock,train
00499.au,hiphop,train
00474.au,blues,train
00617.au,metal,train
00697.au,hiphop,train
00050.au,hiphop,train
00211.au,jazz,train
00381.au,blues,train
00883.au,pop,train
00173.au,classical,train
00147.au,disco,train
00419.au,reggae,train
00961.au,blues,train
00148.au,country,train
00975.au,country,train
00079.au,classical,train
00775.au,country,train
00302.au,disco,train
00995.au,country,train
00525.au,classical,train
00774.au,classical,train
00231.au,country,train
00625.au,disco,train
00800.au,disco,train
00561.au,hiphop,train
00509.au,disco,train
00840.au,jazz,train
00494.au,blues,train
00119.au,blues,train
00477.au,reggae,train
00144.au,pop,train
00029.au,reggae,train
00910.au,hiphop,train
00121.au,disco,train
00605.au,country,train
00061.au,country,train
00871.au,rock,train
00572.au,jazz,train
00005.au,hiphop,train
00926.au,rock,train
00639.au,pop,train
00439.au,metal,train
00729.au,blues,train
00193.au,hiphop,train
00752.au,disco,train
00626.au,classical,train
00571.au,country,train
00017.au,hiphop,train
00742.au,jazz,train
00914.au,rock,train
00510.au,reggae,train
00573.au,rock,train
00138.au,disco,train
00191.au,country,train
00004.au,disco,train
00443.au,reggae,train
00020.au,hiphop,train
00213.au,classical,train
00064.au,disco,train
00411.au,blues,train
00301.au,jazz,train
00333.au,disco,train
00192.au,disco,train
00664.au,pop,train
00262.au,reggae,train
00647.au,country,train
00810.au,metal,train
00232.au,metal,train
00795.au,blues,train
00681.au,rock,train
00804.au,blues,train
00482.au,country,train
00360.au,hiphop,train
00838.au,rock,train
00236.au,reggae,train
00627.au,pop,train
00957.au,pop,train
00582.au,rock,train
00272.au,classical,train
00201.au,blues,train
00013.au,metal,train
00427.au,pop,train
00239.au,classical,train
00084.au,classical,train
00532.au,reggae,train
00172.au,hiphop,train
00289.au,reggae,train
00485.au,classical,train
00329.au,country,train
00683.au,metal,train
00318.au,blues,train
00454.au,jazz,train
00249.au,classical,train
00846.au,hiphop,train
00279.au,hiphop,train
00455.au,country,train
00901.au,classical,train
00761.au,hiphop,train
00547.au,blues,train
00180.au,disco,train
00557.au,reggae,train
00628.au,metal,train
00423.au,metal,train
00843.au,country,train
00010.au,classical,train
00199.au,disco,train
00425.au,jazz,train
00534.au,blues,train
00031.au,hiphop,train
00579.au,country,train
00404.au,reggae,train
00277.au,blues,train
00444.au,hiphop,train
00771.au,rock,train
00372.au,classical,train
00722.au,rock,train
00400.au,rock,train
00078.au,pop,train
00537.au,disco,train
00575.au,blues,train
00548.au,pop,train
00710.au,metal,train
00041.au,country,train
00885.au,country,train
00632.au,jazz,train
00858.au,metal,train
00139.au,reggae,train
00385.au,blues,train
00456.au,pop,train
00932.au,jazz,train
00813.au,reggae,train
00140.au,blues,train
00624.au,blues,train
00320.au,hiphop,train
00708.au,classical,train
00457.au,country,train
00873.au,rock,train
00326.au,pop,train
00126.au,rock,train
00132.au,rock,train
00817.au,pop,train
00397.au,disco,train
00915.au,reggae,train
00993.au,classical,train
00415.au,country,train
00595.au,pop,train
00258.au,reggae,train
00313.au,pop,train
00409.au,hiphop,train
00162.au,metal,train
00304.au,hiphop,train
00286.au,country,train
00644.au,metal,train
00635.au,reggae,train
00353.au,classical,train
00068.au,classical,train
00678.au,classical,train
00833.au,metal,train
00935.au,blues,train
00679.au,pop,train
00719.au,jazz,train
00237.au,metal,train
00265.au,rock,train
00090.au,pop,train
00835.au,blues,train
00862.au,classical,train
00054.au,disco,train
00657.au,blues,train
00943.au,disco,train
00406.au,country,train
00380.au,pop,train
00124.au,metal,train
00491.au,jazz,train
00802.au,pop,train
00900.au,pop,train
00430.au,disco,train
00945.au,disco,train
00703.au,hiphop,train
00294.au,hiphop,train
00878.au,rock,train
00212.au,reggae,train
00918.au,classical,train
00037.au,pop,train
00860.au,jazz,train
00898.au,pop,train
00125.au,country,train
00023.au,hiphop,train
00839.au,jazz,train
00976.au,metal,train
00101.au,country,train
00115.au,reggae,train
00435.au,jazz,train
00950.au,disco,train
00120.au,jazz,train
00384.au,jazz,train
00047.au,blues,train
00171.au,hiphop,train
00317.au,rock,train
00324.au,metal,train
00880.au,pop,train
00263.au,hiphop,train
00145.au,disco,train
00043.au,classical,train
00504.au,country,train
00086.au,blues,train
00376.au,rock,train
00530.au,rock,train
00984.au,metal,train
00851.au,pop,train
00345.au,metal,train
00403.au,classical,train
00226.au,metal,train
00987.au,classical,train
00164.au,metal,train
00335.au,rock,train
00600.au,rock,train
00916.au,country,train
00472.au,disco,train
00447.au,jazz,train
00107.au,pop,train
00856.au,blues,train
00155.au,hiphop,train
00458.au,reggae,train
00280.au,country,train
00207.au,pop,train
00154.au,metal,train
00587.au,country,train
00757.au,jazz,train
00985.au,reggae,train
00383.au,hiphop,train
00801.au,pop,train
00648.au,pop,train
00806.au,hiphop,train
00536.au,metal,train
00503.au,rock,train
00737.au,rock,train
00559.au,country,train
00544.au,blues,train
00356.au,rock,train
00206.au,pop,train
00888.au,blues,train
00611.au,classical,train
00711.au,metal,train
00531.au,metal,train
00259.au,classical,train
00153.au,jazz,train
00852.au,reggae,train
00063.au,disco,train
00434.au,pop,train
00339.au,country,train
00513.au,hiphop,train
00748.au,country,train
00487.au,rock,train
00524.au,disco,train
00893.au,blues,train
00952.au,classical,train
00186.au,reggae,train
00673.au,reggae,train
00343.au,country,train
00377.au,blues,train
00903.au,disco,train
00368.au,hiphop,train
00568.au,disco,train
00275.au,reggae,train
00690.au,disco,train
00266.au,classical,train
00782.au,blues,train
00937.au,hiphop,train
00533.au,pop,train
00022.au,disco,train
00542.au,blues,train
00097.au,metal,train
00295.au,rock,train
00460.au,jazz,train
00197.au,jazz,train
00707.au,pop,train
00261.au,pop,train
00310.au,jazz,train
00979.au,classical,train
00160.au,jazz,train
00402.au,disco,train
00539.au,blues,train
00176.au,pop,train
00726.au,metal,train
00793.au,country,train
00818.au,rock,train
00778.au,classical,train
00756.au,metal,train
00297.au,classical,train
00091.au,classical,train
00929.au,metal,train
00449.au,pop,train
00645.au,rock,train
00014.au,pop,train
00480.au,country,train
00996.au,reggae,train
00868.au,country,train
00431.au,classical,train
00695.au,pop,train
00502.au,metal,train
00260.au,reggae,train
00328.au,rock,train
00179.au,rock,train
00564.au,reggae,train
00395.au,jazz,train
00495.au,jazz,train
00035.au,disco,train
00442.au,jazz,train
00927.au,blues,train
00659.au,blues,train
00636.au,jazz,train
00098.au,country,train
00337.au,metal,train
00012.au,disco,train
00684.au,reggae,train
00116.au,country,train
00446.au,rock,train
00407.au,metal,train
00815.au,pop,train
00312.au,jazz,train
00358.au,jazz,train
00471.au,blues,train
00204.au,metal,train
00227.au,metal,train
00481.au,rock,train
00039.au,hiphop,train
00391.au,rock,train
00110.au,reggae,train
00832.au,jazz,train
00812.au,rock,train
00962.au,rock,train
00421.au,disco,train
00340.au,disco,train
00183.au,reggae,train
00997.au,country,train
00422.au,reggae,train
00181.au,country,train
00904.au,blues,train
00861.au,pop,train
00649.au,blues,train
00745.au,pop,train
00700.au,disco,train
00105.au,jazz,train
00919.au,pop,train
00651.au,jazz,train
00366.au,blues,train
00619.au,hiphop,train
00905.au,disco,train
00315.au,rock,train
00042.au,reggae,train
00130.au,rock,train
00440.au,hiphop,train
00151.au,country,train
00588.au,disco,train
00036.au,metal,train
00152.au,hiphop,train
00676.au,pop,train
00960.au,reggae,train
00601.au,blues,train
00437.au,blues,train
00452.au,blues,train
00785.au,blues,train
00268.au,jazz,train
00133.au,disco,train
00341.au,blues,train
00803.au,blues,train
00045.au,reggae,train
00283.au,hiphop,train
00652.au,rock,train
00948.au,rock,train
00052.au,classical,train
00821.au,classical,train
00779.au,jazz,train
00977.au,jazz,train
00599.au,jazz,train
00208.au,reggae,train
00351.au,pop,train
00215.au,reggae,train
00288.au,blues,train
00278.au,country,train
00953.au,blues,train
00820.au,jazz,train
00109.au,jazz,train
00118.au,classical,train
00941.au,country,train
00137.au,metal,train
00106.au,disco,train
00306.au,disco,train
00972.au,pop,train
00008.au,disco,train
00822.au,jazz,train
00309.au,pop,train
00556.au,disco,train
00743.au,hiphop,train
00634.au,reggae,train
00291.au,classical,train
00378.au,country,train
00889.au,rock,train
00629.au,reggae,train
00357.au,rock,train
00712.au,blues,train
00620.au,metal,train
00518.au,disco,train
00662.au,classical,train
00550.au,metal,train
00075.au,rock,train
00102.au,disco,train
00576.au,hiphop,train
00857.au,hiphop,train
00009.au,jazz,train
00074.au,jazz,train
00951.au,reggae,train
00468.au,country,train
00307.au,pop,train
00134.au,metal,train
00859.au,disco,train
00884.au,metal,train
00244.au,blues,train
00641.au,country,train
00209.au,country,train
00267.au,metal,train
00870.au,country,train
00535.au,classical,train
00578.au,blues,train
00845.au,metal,train
00968.au,hiphop,train
00083.au,rock,train
00040.au,jazz,train
00608.au,rock,train
00592.au,pop,train
00853.au,classical,train
00583.au,country,train
00122.au,pop,train
00413.au,blues,train
00240.au,reggae,train
00723.au,metal,train
00609.au,classical,train
00766.au,pop,train
00190.au,blues,train
00082.au,blues,train
00520.au,rock,train
00876.au,reggae,train
00805.au,blues,train
00783.au,jazz,train
00514.au,classical,train
00488.au,rock,train
00847.au,metal,train
00672.au,jazz,train
00058.au,classical,train
00321.au,disco,train
00691.au,metal,train
00555.au,blues,train
00593.au,metal,train
00837.au,reggae,train
00222.au,blues,train
00303.au,country,train
00716.au,pop,train
00158.au,pop,train
00498.au,disco,train
00569.au,classical,train
00897.au,pop,train
00292.au,jazz,train
00465.au,hiphop,train
00988.au,reggae,train
00399.au,reggae,train
00002.au,rock,train
00886.au,disco,train
00168.au,disco,train
00725.au,metal,train
00869.au,disco,train
00218.au,rock,train
00492.au,country,train
00715.au,reggae,train
00751.au,pop,train
00170.au,classical,train
00242.au,jazz,train
00980.au,rock,train
00015.au,jazz,train
00553.au,reggae,train
00667.au,classical,train
00051.au,metal,train
00989.au,pop,train
00563.au,rock,train
00453.au,disco,train
00077.au,rock,train
00255.au,pop,train
00912.au,rock,train
00717.au,country,train
00187.au,rock,train
00829.au,jazz,train
00143.au,country,train
00966.au,hiphop,train
00814.au,disco,train
00705.au,classical,train
00923.au,classical,train
00254.au,classical,train
00111.au,classical,train
00347.au,metal,train
00412.au,rock,train
00062.au,metal,train
00100.au,pop,train
00661.au,rock,train
00669.au,classical,train
00689.au,disco,train
00055.au,metal,train
00478.au,reggae,train
00420.au,reggae,train
00755.au,hiphop,train
00362.au,disco,train
00441.au,country,train
00674.au,jazz,train
00946.au,rock,train
00096.au,disco,train
00194.au,hiphop,train
00416.au,classical,train
00709.au,hiphop,train
00248.au,country,train
00484.au,metal,train
00590.au,metal,train
00584.au,jazz,train
00135.au,reggae,train
00753.au,reggae,train
00219.au,hiphop,train
00767.au,hiphop,train
00685.au,pop,train
00285.au,rock,train
00243.au,jazz,train
00526.au,rock,train
00728.au,pop,train
00338.au,classical,train
00872.au,reggae,train
00069.au,blues,train
00874.au,classical,train
00060.au,metal,train
00646.au,classical,train
00724.au,rock,train
00072.au,hiphop,train
00007.au,reggae,train
00967.au,classical,train
00734.au,metal,train
00235.au,classical,train
00567.au,classical,train
00602.au,pop,train
00021.au,reggae,train
00346.au,disco,train
00827.au,metal,train
00230.au,blues,train
00253.au,country,train
00123.au,classical,train
00462.au,jazz,train
00529.au,blues,train
00448.au,classical,train
00831.au,reggae,train
00971.au,pop,train
00687.au,classical,train
00844.au,disco,train
00319.au,disco,train
00730.au,metal,train
00205.au,blues,train
00706.au,disco,train
00938.au,reggae,train
00784.au,jazz,train
00866.au,classical,train
00433.au,metal,train
00621.au,metal,train
00540.au,country,train
00855.au,country,train
00169.au,rock,train
00562.au,jazz,train
00486.au,hiphop,train
00675.au,hiphop,train
00131.au,rock,train
00128.au,hiphop,train
00545.au,metal,train
00070.au,disco,train
00497.au,hiphop,train
00749.au,pop,train
00087.au,country,train
00933.au,reggae,train
00865.au,metal,train
00246.au,blues,train
00059.au,metal,train
00245.au,classical,train
00314.au,hiphop,train
00371.au,rock,train
00808.au,rock,train
00019.au,country,train
00500.au,country,train
00331.au,blues,train
00613.au,rock,train
00000.au,reggae,train
00543.au,hiphop,train
00552.au,hiphop,train
00165.au,pop,train
00798.au,reggae,train
00382.au,blues,train
00834.au,blues,train
00973.au,classical,train
00894.au,metal,train
00796.au,jazz,train
00999.au,metal,train
00305.au,reggae,train
00640.au,jazz,train
00108.au,country,train
00519.au,blues,train
00182.au,blues,train
00780.au,country,train
00512.au,disco,train
00930.au,rock,val
00736.au,disco,val
00739.au,classical,val
00003.au,country,val
00908.au,hiphop,val
00161.au,blues,val
00445.au,jazz,val
00931.au,country,val
00998.au,blues,val
00955.au,disco,val
00656.au,disco,val
00787.au,disco,val
00899.au,country,val
00768.au,reggae,val
00936.au,jazz,val
00698.au,hiphop,val
00117.au,jazz,val
00738.au,classical,val
00830.au,pop,val
00011.au,reggae,val
00566.au,metal,val
00257.au,metal,val
00541.au,hiphop,val
00479.au,reggae,val
00963.au,rock,val
00390.au,country,val
00394.au,hiphop,val
00065.au,rock,val
00610.au,metal,val
00956.au,reggae,val
00696.au,jazz,val
00811.au,reggae,val
00958.au,blues,val
00642.au,pop,val
00156.au,classical,val
00112.au,hiphop,val
00048.au,reggae,val
00773.au,jazz,val
00093.au,jazz,val
00505.au,classical,val
00521.au,reggae,val
00141.au,country,val
00881.au,classical,val
00925.au,disco,val
00408.au,classical,val
00597.au,pop,val
00438.au,rock,val
00598.au,blues,val
00764.au,blues,val
00269.au,metal,val
00551.au,hiphop,val
00974.au,jazz,val
00762.au,pop,val
00252.au,country,val
00992.au,blues,val
00271.au,classical,val
00146.au,hiphop,val
00469.au,country,val
00658.au,rock,val
00405.au,blues,val
00511.au,country,val
00671.au,pop,val
00217.au,jazz,val
00322.au,reggae,val
00735.au,country,val
00580.au,pop,val
00216.au,jazz,val
00067.au,classical,val
00274.au,classical,val
00410.au,hiphop,val
00323.au,blues,val
00824.au,metal,val
00982.au,disco,val
00841.au,blues,val
00234.au,pop,val
00057.au,reggae,val
00794.au,metal,val
00786.au,reggae,val
00863.au,country,val
00332.au,reggae,val
00701.au,hiphop,val
00224.au,classical,val
00570.au,country,val
00704.au,rock,val
00655.au,reggae,val
00276.au,jazz,val
00388.au,blues,val
00473.au,jazz,val
00167.au,reggae,val
00994.au,classical,val
00746.au,pop,val
00546.au,disco,val
00175.au,reggae,val
00907.au,metal,val
00623.au,metal,val
00073.au,classical,val
00663.au,hiphop,val
00699.au,reggae,val
00970.au,pop,val
00273.au,hiphop,val
00686.au,,test
00214.au,,test
00363.au,,test
00379.au,,test
00166.au,,test
00373.au,,test
00854.au,,test
00650.au,,test
00464.au,,test
00954.au,,test
00947.au,,test
00103.au,,test
00887.au,,test
00978.au,,test
00875.au,,test
00081.au,,test
00296.au,,test
00791.au,,test
00233.au,,test
00677.au,,test
00046.au,,test
00071.au,,test
00721.au,,test
00196.au,,test
00591.au,,test
00370.au,,test
00882.au,,test
00906.au,,test
00633.au,,test
00643.au,,test
00849.au,,test
00300.au,,test
00565.au,,test
00080.au,,test
00387.au,,test
00127.au,,test
00549.au,,test
00470.au,,test
00747.au,,test
00044.au,,test
00826.au,,test
00270.au,,test
00618.au,,test
00352.au,,test
00867.au,,test
00367.au,,test
00099.au,,test
00389.au,,test
00094.au,,test
00990.au,,test
00344.au,,test
00781.au,,test
00220.au,,test
00159.au,,test
00964.au,,test
00348.au,,test
00983.au,,test
00714.au,,test
00163.au,,test
00825.au,,test
00777.au,,test
00006.au,,test
00890.au,,test
00828.au,,test
00284.au,,test
00603.au,,test
00459.au,,test
00225.au,,test
00429.au,,test
00986.au,,test
00718.au,,test
00665.au,,test
00733.au,,test
00203.au,,test
00574.au,,test
00027.au,,test
00616.au,,test
00517.au,,test
00238.au,,test
00223.au,,test
00095.au,,test
00030.au,,test
00032.au,,test
00432.au,,test
00604.au,,test
00089.au,,test
00558.au,,test
00913.au,,test
00758.au,,test
00692.au,,test
00104.au,,test
00754.au,,test
00142.au,,test
00228.au,,test
00250.au,,test
00281.au,,test
00759.au,,test
00025.au,,test
00114.au,,test
00654.au,,test
