ID,label
00620.au,metal
00518.au,disco
00662.au,classical
00550.au,metal
00075.au,rock
00102.au,disco
00576.au,hiphop
00857.au,hiphop
00009.au,jazz
00074.au,jazz
00951.au,reggae
00468.au,country
00307.au,pop
00134.au,metal
00859.au,disco
00884.au,metal
00244.au,blues
00641.au,country
00209.au,country
00267.au,metal
00870.au,country
00535.au,classical
00578.au,blues
00845.au,metal
00968.au,hiphop
00083.au,rock
00040.au,jazz
00608.au,rock
00592.au,pop
00853.au,classical
00583.au,country
00122.au,pop
00413.au,blues
00240.au,reggae
00723.au,metal
00609.au,classical
00766.au,pop
00190.au,blues
00082.au,blues
00520.au,rock
00876.au,reggae
00805.au,blues
00783.au,jazz
00514.au,classical
00488.au,rock
00847.au,metal
00672.au,jazz
00058.au,classical
00321.au,disco
00691.au,metal
00555.au,blues
00593.au,metal
00837.au,reggae
00222.au,blues
00303.au,country
00716.au,pop
00158.au,pop
00498.au,disco
00569.au,classical
00897.au,pop
00292.au,jazz
00465.au,hiphop
00988.au,reggae
00399.au,reggae
00002.au,rock
00886.au,disco
00168.au,disco
00725.au,metal
00869.au,disco
00218.au,rock
00492.au,country
00715.au,reggae
00751.au,pop
00170.au,classical
00242.au,jazz
00980.au,rock
00015.au,jazz
00553.au,reggae
00667.au,classical
00051.au,metal
00989.au,pop
00563.au,rock
00453.au,disco
00077.au,rock
00255.au,pop
00912.au,rock
00717.au,country
00187.au,rock
00829.au,jazz
00143.au,country
00966.au,hiphop
00814.au,disco
00705.au,classical
00923.au,classical
00254.au,classical
00111.au,classical
00347.au,metal
00412.au,rock
00062.au,metal
00100.au,pop
00661.au,rock
00669.au,classical
00689.au,disco
00055.au,metal
00478.au,reggae
00420.au,reggae
00755.au,hiphop
00362.au,disco
00441.au,country
00674.au,jazz
00946.au,rock
00096.au,disco
00194.au,hiphop
00416.au,classical
00709.au,hiphop
00248.au,country
00484.au,metal
00590.au,metal
00584.au,jazz
00135.au,reggae
00753.au,reggae
00219.au,hiphop
00767.au,hiphop
00685.au,pop
00285.au,rock
00243.au,jazz
00526.au,rock
00728.au,pop
00338.au,classical
00872.au,reggae
00069.au,blues
00874.au,classical
00060.au,metal
00646.au,classical
00724.au,rock
00072.au,hiphop
00007.au,reggae
00967.au,classical
00734.au,metal
00235.au,classical
00567.au,classical
00602.au,pop
00021.au,reggae
00346.au,disco
00827.au,metal
00230.au,blues
00253.au,country
00123.au,classical
00462.au,jazz
00529.au,blues
00448.au,classical
00831.au,reggae
00971.au,pop
00687.au,classical
00844.au,disco
00319.au,disco
00730.au,metal
00205.au,blues
00706.au,disco
00938.au,reggae
00784.au,jazz
00866.au,classical
00433.au,metal
00621.au,metal
00540.au,country
00855.au,country
00169.au,rock
00562.au,jazz
00486.au,hiphop
00675.au,hiphop
00131.au,rock
00128.au,hiphop
00545.au,metal
00070.au,disco
00497.au,hiphop
00749.au,pop
00087.au,country
00933.au,reggae
00865.au,metal
00246.au,blues
00059.au,metal
00245.au,classical
00314.au,hiphop
00371.au,rock
00808.au,rock
00019.au,country
00500.au,country
00331.au,blues
00613.au,rock
00000.au,reggae
00543.au,hiphop
00552.au,hiphop
00165.au,pop
00798.au,reggae
00382.au,blues
00834.au,blues
00973.au,classical
00894.au,metal
00796.au,jazz
00999.au,metal
00305.au,reggae
00640.au,jazz
00108.au,country
00519.au,blues
00182.au,blues
00780.au,country
00512.au,disco
